                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 1.1289,                 1.9103,                 1.2961,                0.61129,                0.46125,                0.51432,                0.37992,                 1.0463,                 1.6783,                 1.3241,             6.9597e-05,             6.9597e-05,             6.9597e-05
                     17,                 1.1217,                   1.85,                 1.2852,                0.47889,                0.49846,                0.50323,                0.37605,                 1.0496,                 1.6564,                 1.3228,             6.7637e-05,             6.7637e-05,             6.7637e-05
                     18,                 1.0991,                 1.8231,                 1.2832,                0.70048,                0.39429,                0.50454,                0.37719,                 1.0489,                 1.6461,                 1.3357,             6.5677e-05,             6.5677e-05,             6.5677e-05
                     19,                 1.1096,                 1.7761,                 1.2797,                0.62932,                0.43461,                0.52941,                 0.3998,                 1.0391,                 1.6065,                 1.3196,             6.3716e-05,             6.3716e-05,             6.3716e-05
                     20,                 1.0974,                 1.7494,                 1.2747,                0.51523,                0.49384,                0.50564,                0.38419,                 1.0376,                 1.6274,                 1.3134,             6.1756e-05,             6.1756e-05,             6.1756e-05
                     21,                 1.0999,                 1.7331,                 1.2751,                0.52319,                0.50429,                0.51828,                0.38313,                 1.0536,                 1.5947,                 1.3292,             5.9796e-05,             5.9796e-05,             5.9796e-05
                     22,                 1.0961,                 1.6928,                 1.2706,                0.50562,                0.52417,                0.54278,                0.40581,                 1.0324,                 1.5628,                 1.3088,             5.7836e-05,             5.7836e-05,             5.7836e-05
                     23,                 1.0821,                 1.6674,                 1.2628,                0.53978,                0.52873,                0.54189,                0.40445,                 1.0299,                  1.545,                 1.3063,             5.5876e-05,             5.5876e-05,             5.5876e-05
                     24,                 1.0846,                 1.6249,                 1.2619,                0.55611,                0.54309,                0.56827,                0.42956,                 1.0331,                 1.5562,                 1.3138,             5.3915e-05,             5.3915e-05,             5.3915e-05
                     25,                 1.0734,                 1.6276,                 1.2559,                0.58431,                0.51924,                0.55334,                0.41887,                 1.0208,                 1.5477,                 1.3067,             5.1955e-05,             5.1955e-05,             5.1955e-05
                     26,                 1.0781,                 1.6256,                 1.2634,                 0.6141,                 0.5288,                0.59324,                0.44818,                 1.0231,                  1.505,                 1.3072,             4.9995e-05,             4.9995e-05,             4.9995e-05
                     27,                 1.0754,                  1.577,                 1.2596,                0.55027,                0.54494,                0.56744,                0.42744,                 1.0331,                  1.521,                  1.306,             4.8035e-05,             4.8035e-05,             4.8035e-05
                     28,                 1.0672,                  1.548,                 1.2538,                0.63472,                0.51332,                   0.58,                0.43979,                 1.0257,                 1.5015,                 1.2982,             4.6075e-05,             4.6075e-05,             4.6075e-05
                     29,                  1.069,                 1.5421,                 1.2531,                0.69386,                0.50503,                 0.5745,                0.43187,                 1.0269,                 1.4807,                 1.2986,             4.4114e-05,             4.4114e-05,             4.4114e-05
                     30,                 1.0661,                  1.507,                 1.2439,                0.67254,                0.50838,                0.60012,                0.45454,                 1.0308,                 1.4883,                 1.3092,             4.2154e-05,             4.2154e-05,             4.2154e-05
                     31,                 1.0613,                 1.5161,                 1.2575,                0.63245,                0.55493,                0.59218,                0.44803,                  1.027,                   1.49,                 1.3003,             4.0194e-05,             4.0194e-05,             4.0194e-05
                     32,                 1.0625,                   1.48,                 1.2457,                 0.6708,                0.53334,                0.59835,                0.45059,                 1.0141,                 1.4556,                 1.2912,             3.8234e-05,             3.8234e-05,             3.8234e-05
                     33,                 1.0464,                 1.4793,                 1.2414,                0.66786,                0.53011,                0.59748,                0.44652,                 1.0139,                  1.431,                 1.2968,             3.6274e-05,             3.6274e-05,             3.6274e-05
                     34,                 1.0478,                 1.4578,                 1.2366,                0.57956,                0.55912,                0.59897,                0.45139,                 1.0151,                 1.4536,                 1.2949,             3.4313e-05,             3.4313e-05,             3.4313e-05
                     35,                 1.0422,                 1.4521,                 1.2359,                0.62156,                0.54015,                0.59632,                0.44939,                 1.0205,                 1.4544,                 1.3029,             3.2353e-05,             3.2353e-05,             3.2353e-05
                     36,                 1.0484,                 1.4334,                  1.238,                0.69067,                0.50773,                0.59665,                0.45159,                 1.0225,                 1.4486,                 1.2989,             3.0393e-05,             3.0393e-05,             3.0393e-05
                     37,                 1.0537,                  1.429,                 1.2394,                0.70002,                0.51973,                0.61119,                0.45608,                 1.0119,                 1.4196,                 1.2921,             2.8433e-05,             2.8433e-05,             2.8433e-05
                     38,                 1.0334,                 1.4228,                 1.2247,                 0.6148,                0.55989,                0.61634,                0.46453,                 1.0137,                 1.4268,                 1.2912,             2.6473e-05,             2.6473e-05,             2.6473e-05
                     39,                 1.0356,                 1.4085,                 1.2294,                0.63156,                0.56947,                0.62586,                0.47107,                 1.0109,                 1.4083,                 1.2885,             2.4512e-05,             2.4512e-05,             2.4512e-05
                     40,                 1.0447,                 1.3947,                 1.2318,                0.67206,                 0.5299,                 0.6066,                0.46137,                 1.0133,                 1.4255,                 1.2902,             2.2552e-05,             2.2552e-05,             2.2552e-05
                     41,                0.97433,                 1.3961,                 1.2391,                 0.6323,                0.55528,                0.59755,                0.44848,                 1.0106,                 1.5045,                 1.2917,             2.0592e-05,             2.0592e-05,             2.0592e-05
                     42,                0.94682,                 1.3046,                 1.2236,                0.55221,                0.57288,                0.59855,                 0.4444,                  1.009,                 1.4674,                 1.2907,             1.8632e-05,             1.8632e-05,             1.8632e-05
                     43,                0.94084,                 1.2796,                 1.2176,                0.59104,                0.57467,                0.60972,                0.45649,                 1.0011,                 1.4636,                 1.2882,             1.6672e-05,             1.6672e-05,             1.6672e-05
                     44,                0.94156,                 1.2568,                 1.2198,                0.64309,                 0.5524,                0.61092,                0.46063,                 1.0073,                 1.4459,                 1.2892,             1.4711e-05,             1.4711e-05,             1.4711e-05
                     45,                0.93801,                 1.2326,                 1.2136,                0.60713,                0.54229,                0.59936,                0.45154,                 1.0104,                 1.4445,                 1.2874,             1.2751e-05,             1.2751e-05,             1.2751e-05
                     46,                0.93619,                 1.2371,                 1.2155,                0.67236,                 0.5301,                0.60589,                0.45619,                 1.0119,                 1.4432,                 1.2904,             1.0791e-05,             1.0791e-05,             1.0791e-05
