                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2785,                 4.7551,                 1.4781,                0.80221,                 0.0218,                0.02133,                0.01292,                 1.1288,                 3.7876,                 1.4359,             3.2879e-05,             3.2879e-05,             3.2879e-05
                      2,                 1.2584,                 3.9235,                 1.4263,                0.78993,                0.08166,                0.07482,                0.05054,                 1.1444,                 3.1604,                 1.4483,             6.4575e-05,             6.4575e-05,             6.4575e-05
                      3,                 1.2721,                 3.5102,                 1.4198,                0.93702,                0.08232,                0.12891,                0.08742,                 1.1537,                 2.8474,                 1.4269,             9.4964e-05,             9.4964e-05,             9.4964e-05
                      4,                 1.2574,                  3.109,                 1.4054,                0.63209,                0.20073,                 0.1845,                0.12843,                 1.1366,                 2.5116,                 1.4172,             9.3119e-05,             9.3119e-05,             9.3119e-05
                      5,                 1.2296,                 2.8617,                 1.3931,                0.50486,                0.24293,                 0.2443,                0.17527,                  1.115,                 2.3245,                 1.3961,             9.1159e-05,             9.1159e-05,             9.1159e-05
                      6,                 1.2165,                 2.6534,                 1.3752,                0.60704,                0.23731,                0.24644,                0.17515,                 1.1157,                 2.1828,                 1.4004,             8.9199e-05,             8.9199e-05,             8.9199e-05
                      7,                 1.2092,                 2.5338,                 1.3585,                0.73109,                0.23336,                0.30382,                 0.2215,                 1.0909,                 2.0477,                 1.3733,             8.7239e-05,             8.7239e-05,             8.7239e-05
                      8,                 1.2079,                 2.3862,                 1.3606,                0.60111,                0.31235,                0.33797,                0.24449,                 1.0929,                 1.9838,                 1.3691,             8.5279e-05,             8.5279e-05,             8.5279e-05
                      9,                 1.1779,                 2.2698,                 1.3353,                0.49082,                0.33103,                0.35674,                 0.2615,                 1.0771,                 1.9228,                 1.3569,             8.3318e-05,             8.3318e-05,             8.3318e-05
                     10,                  1.168,                 2.2172,                 1.3242,                0.60866,                0.32211,                0.38398,                0.27785,                 1.1165,                 1.8912,                 1.3868,             8.1358e-05,             8.1358e-05,             8.1358e-05
                     11,                 1.1716,                 2.1743,                 1.3239,                0.48936,                 0.4002,                0.40583,                0.29828,                 1.0944,                 1.8307,                 1.3659,             7.9398e-05,             7.9398e-05,             7.9398e-05
                     12,                 1.1585,                 2.0922,                 1.3177,                0.57338,                0.38663,                 0.4244,                0.30928,                 1.0768,                 1.7659,                  1.349,             7.7438e-05,             7.7438e-05,             7.7438e-05
                     13,                   1.14,                 2.0189,                 1.3069,                0.51208,                0.41909,                  0.439,                0.32616,                  1.079,                 1.7814,                  1.367,             7.5478e-05,             7.5478e-05,             7.5478e-05
                     14,                 1.1466,                 1.9884,                 1.3109,                0.53402,                0.44942,                0.48985,                0.36216,                 1.0662,                  1.724,                 1.3439,             7.3517e-05,             7.3517e-05,             7.3517e-05
                     15,                 1.1256,                 1.9507,                  1.299,                0.55185,                0.43193,                0.47481,                0.35205,                 1.0551,                 1.7169,                 1.3376,             7.1557e-05,             7.1557e-05,             7.1557e-05
